Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
57	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	27305.800693	27288.765159	127958	38	52	244	0.977884	0.977021	0.842294	24.3624	319.128	1.21027	51	536.257202	536.631348	0.911526	0.911526	0.00680188
58	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	27306.792756	27289.757221	254371	38	60	409	0.985746	0.996087	0.858117	169.457	1929.18	1.25197	53	516.059814	516.419128	0.933761	0.933761	0.000918274
59	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	27602.434848	27585.248979	426350	32	54	443	0.996895	0.998648	0.892287	2087.74	5629.54	1.27478	52	531.605774	532.052002	0.937799	0.937799	0.000918274
60	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	27893.716729	27876.358867	624558	40	77	652	0.986691	0.998071	0.803996	412.928	3958.72	2.14818	55	507.978699	508.379272	0.934935	0.934935	0.000918274
61	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	28721.633356	28703.703879	377724	64	86	428	0.982811	0.997753	0.849797	159.16	3466.36	1.79141	78	369.079834	369.376190	0.938929	0.938929	0.000918274
62	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	29583.114070	29564.638689	498528	58	96	620	0.98669	0.995109	0.839069	486.058	1605.79	1.97039	79	375.344482	375.634521	0.913418	0.913418	0.00387666
63	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	29605.356019	29586.880639	389891	39	70	554	0.957288	0.992479	0.710042	233.453	1040.18	1.92962	62	478.376678	478.667725	0.799616	0.799616	0.0254929
64	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	29606.377845	29587.888536	412404	39	73	576	0.962523	0.993895	0.706678	261.086	1284.79	2.04589	57	520.233337	520.605103	0.832182	0.832182	0.022569
65	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	29706.401495	29687.853170	560957	56	96	669	0.966941	0.984988	0.780441	303.419	516.22	1.91055	86	346.309357	346.576630	0.810153	0.810153	0.0243967
66	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	29707.422867	29688.874541	481484	61	93	591	0.97474	0.998155	0.857387	165.575	4284.71	1.87869	77	386.693970	386.967346	0.924313	0.924313	0.000918274
67	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	30058.163190	30039.425891	53150.9	84	87	64	0.966284	0.971206	0.932567	41.3246	149.212	3.17146	86	350.394043	350.641876	0.828044	0.828044	0.0237372
68	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	31488.060047	31468.378141	140383	35	55	328	0.995932	0.989661	0.745755	203.766	775.157	1.48653	52	606.380798	606.708313	0.936324	0.936324	0.000918274
69	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	31792.076432	31772.199700	622828	47	84	676	0.980894	0.997344	0.864939	151.062	3080.07	1.91415	63	505.471252	505.837189	0.933624	0.933624	0.000918274
70	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	31890.638921	31870.709894	447170	57	96	647	0.926524	0.991236	0.731407	12.3753	816.284	2.37512	79	404.560455	404.840240	0.724423	0.724423	0.0375184
71	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	32205.180785	32185.080918	314240	35	53	323	0.99572	0.998719	0.960416	1506.23	6433.42	1.66085	52	620.126038	620.567871	0.942418	0.942418	0
72	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	1	nan	0	120.000000	38	34865.885430	34844.120501	419952	38	75	469	0.991686	0.99738	0.728187	311.596	3267.71	2.34889	59	591.774048	592.145996	0.945598	0.945598	0
